domain_ar,program_name_ar,specialization_ar,program_code,institution_ar,university_ar,bac_type_ar,formula_T,cutoff_2024
,علوم الإعلامية,,,,,علوم الإعلامية,FG+Ang,114.233
,رياضة,,,,,رياضة,FG+Ang,164.801
,كلية الآداب والعلوم الإنسانية بصفاقس (جامعة صفاقس),,40102,,,,FG+Ang,100.842
,رياضيات,,,,,,FG+Ang,141.326
,علوم تجريبية,,,,,علوم تجريبية,FG+Ang,138.062
,إقتصاد وتصرف,,,,,,FG+Ang,70.275
,العلوم التقنية,,,,,العلوم التقنية,FG+Ang,117.652
,علوم الإعلامية,,,,,علوم الإعلامية,FG+Ang,92.262
,رياضة,,,,,رياضة,FG+Ang,117.42
,المعهد العالي للغات بقابس (جامعة قابس),,50102,,,,FG+Ang,97.985
,رياضيات,,,,,,FG+Ang,123.344
,علوم تجريبية,,,,,علوم تجريبية,FG+Ang,144.488
,إقتصاد وتصرف,,,,,,FG+Ang,88.094
,العلوم التقنية,,,,,العلوم التقنية,FG+Ang,129.454
,علوم الإعلامية,,,,,علوم الإعلامية,FG+Ang,120.115
,رياضة,,,,,رياضة,FG+Ang,157.884
,المعهد العالي للعلوم الإنسانية بمدنين (جامعة قابس ),,54102,,,,FG+Ang,77.864
,علوم تجريبية,,,,,علوم تجريبية,FG+Ang,129.315
,إقتصاد وتصرف,,,,,,FG+Ang,83.473
,العلوم التقنية,,,,,العلوم التقنية,FG+Ang,110.603
,علوم الإعلامية,,,,,علوم الإعلامية,FG+Ang,
,رياضة,,,,,رياضة,FG+Ang,
,المعهد العالي للد ارسات التطبيقية في الانسانيات بقفصة (جامعة قفصة),,60102,,,,FG+Ang,76.639
,علوم تجريبية,,,,,علوم تجريبية,FG+Ang,124.29
,إقتصاد وتصرف,,,,,,FG+Ang,82.025
,العلوم التقنية,,,,,العلوم التقنية,FG+Ang,
,رياضة,,,,,رياضة,FG+Ang,165.353
,كلية الآداب والعلوم الإنسانية بالقيروان (جامعة القيروان),,70102,,,,FG+Ang,71.78
,علوم تجريبية,,,,,علوم تجريبية,FG+Ang,120.348
,إقتصاد وتصرف,,,,,,FG+Ang,75.608
,العلوم التقنية,,,,,العلوم التقنية,FG+Ang,106.292
,علوم الإعلامية,,,,,علوم الإعلامية,FG+Ang,88.962
,رياضة,,,,,رياضة,FG+Ang,148.222
,المعهد العالي للد ارسات التطبيقية في الانسانيات بسبيطلة (جامعة القيروان),,73102,,,,FG+Ang,74.138
,رياضيات,,,,,,FG+Ang,108.567
,علوم تجريبية,,,,,علوم تجريبية,FG+Ang,134.323
,إقتصاد وتصرف,,,,,,FG+Ang,80.62
,العلوم التقنية,,,,,العلوم التقنية,FG+Ang,109.16
,علوم الإعلامية,,,,,علوم الإعلامية,FG+Ang,119.9
,المعهد العالي للعلوم الإنسانية بجندوبة (جامعة جندوبة),,80102,,,,FG+Ang,85.165
,رياضيات,,,,,,FG+Ang,114.422
,علوم تجريبية,,,,,علوم تجريبية,FG+Ang,126.217
,إقتصاد وتصرف,,,,,,FG+Ang,74.04
,العلوم التقنية,,,,,العلوم التقنية,FG+Ang,109.654
,علوم الإعلامية,,,,,علوم الإعلامية,FG+Ang,134.895
,المعهد العالي للد ارسات التطبيقية في الإنسانيات بالكاف (جامعة جندوبة ),,82102,,,,FG+Ang,86.659
,رياضيات,,,,,,FG+Ang,116.275
,علوم تجريبية,,,,,علوم تجريبية,FG+Ang,158.034
,إقتصاد وتصرف,,,,,,FG+Ang,83.783
,العلوم التقنية,,,,,العلوم التقنية,FG+Ang,111.855
,علوم الإعلامية,,,,,علوم الإعلامية,FG+Ang,114.525
,المعهد العالي للغات التطبيقية و الاعلامية بباجة (جامعة جندوبة ),,84102,,,,FG+Ang,77.464
,علوم تجريبية,,,,,علوم تجريبية,FG+Ang,153.481
,إقتصاد وتصرف,,,,,,FG+Ang,79.764
,العلوم التقنية,,,,,العلوم التقنية,FG+Ang,120.272
,علوم الإعلامية,,,,,علوم الإعلامية,FG+Ang,118.262
,رياضة,,,,,رياضة,FG+Ang,133.129
,كلية العلوم الإنسانية والإجتماعية بتونس (جامعة تونس ),,10103,,,,FG+F,76.288
,3 سنوات (امد),,,,,,FG+F,
,علوم تجريبية,,,,,علوم تجريبية,FG+F,115.104
,إقتصاد وتصرف,,,,,,FG+F,79.237
,العلوم التقنية,,,,,العلوم التقنية,FG+F,102.952
,علوم الإعلامية,,,,,علوم الإعلامية,FG+F,110.365
