domain_ar,program_name_ar,specialization_ar,program_code,institution_ar,university_ar,bac_type_ar,formula_T,cutoff_2024
,المعهد العالي للفنون الجميلة بنابل (جامعة قرطاج),,,,,,FG+PH,106.208
,رياضيات,,,,,,FG+PH,115.025
,علوم تجريبية,,,,,علوم تجريبية,FG+PH,118.682
,إقتصاد وتصرف,,,,,,FG+PH,94.107
,العلوم التقنية,,,,,العلوم التقنية,FG+PH,102.953
,علوم الإعلامية,,,,,علوم الإعلامية,FG+PH,94.548
,رياضة,,,,,رياضة,FG+PH,104.47
,المعهد العالي للفنون الجميلة بسوسة (جامعة سوسة ),,,,,,FG+PH,117.363
,رياضيات,,,,,,FG+PH,108.666
,علوم تجريبية,,,,,علوم تجريبية,FG+PH,118.239
,إقتصاد وتصرف,,,,,,FG+PH,95.365
,العلوم التقنية,,,,,العلوم التقنية,FG+PH,108.252
,علوم الإعلامية,,,,,علوم الإعلامية,FG+PH,83.945
,رياضة,,,,,رياضة,FG+PH,160.816
,المعهد العالي للفنون والحرف بالمهدية (جامعة المنستير),,,,,,FG+PH,112.43
,رياضيات,,,,,,FG+PH,103.07
,علوم تجريبية,,,,,علوم تجريبية,FG+PH,112.245
,إقتصاد وتصرف,,,,,,FG+PH,89.335
,العلوم التقنية,,,,,العلوم التقنية,FG+PH,95.274
,علوم الإعلامية,,,,,علوم الإعلامية,FG+PH,94.065
,رياضة,,,,,رياضة,FG+PH,118.56
,المعهد العالي للفنون و الحرف بصفاقس (جامعة صفاقس),,,,,,FG+PH,110.699
,رياضيات,,,,,,FG+PH,111.557
,علوم تجريبية,,,,,علوم تجريبية,FG+PH,116.016
,إقتصاد وتصرف,,,,,,FG+PH,88.837
,العلوم التقنية,,,,,العلوم التقنية,FG+PH,74.05
,علوم الإعلامية,,,,,علوم الإعلامية,FG+PH,86.149
,المعهد العالي للفنون والحرف بقابس (جامعة قابس ),,,,,,FG+PH,103.806
,علوم تجريبية,,,,,علوم تجريبية,FG+PH,100.625
,إقتصاد وتصرف,,,,,,FG+PH,73.613
,العلوم التقنية,,,,,العلوم التقنية,FG+PH,76.899
,علوم الإعلامية,,,,,علوم الإعلامية,FG+PH,82.97
,المعهد العالي للفنو ن والحرف بتطاوين (جامعة قابس ),,,,,,FG+PH,103.405
,علوم تجريبية,,,,,علوم تجريبية,FG+PH,95.358
,إقتصاد وتصرف,,,,,,FG+PH,90.44
,المعهد العالي للفنون والحرف بقفصة (جامعة قفصة ),,,,,,FG+PH,104.509
,علوم تجريبية,,,,,علوم تجريبية,FG+PH,110.496
,إقتصاد وتصرف,,,,,,FG+PH,81.122
,العلوم التقنية,,,,,العلوم التقنية,FG+PH,115.945
,المعهد العالي للفنون والحرف بالقيروان (جامعة القيروان),,,,,,FG+PH,102.515
,علوم تجريبية,,,,,علوم تجريبية,FG+PH,90.047
,إقتصاد وتصرف,,,,,,FG+PH,78.192
,العلوم التقنية,,,,,العلوم التقنية,FG+PH,86.435
,علوم الإعلامية,,,,,علوم الإعلامية,FG+PH,80.908
,المعهد العالي للفنو ن والحرف بسيد ي بوزيد (جامعة القيروان),,,,,,FG+PH,83.009
,علوم تجريبية,,,,,علوم تجريبية,FG+PH,87.379
,إقتصاد وتصرف,,,,,,FG+PH,89.359
,العلوم التقنية,,,,,العلوم التقنية,FG+PH,83.679
,علوم الإعلامية,,,,,علوم الإعلامية,FG+PH,79.582
,المعهد العالي للفنون والحرف بسليانة (جامعة جندوبة),,,,,,FG+PH,100.553
,علوم تجريبية,,,,,علوم تجريبية,FG+PH,115.485
,إقتصاد وتصرف,,,,,,FG+PH,78.716
,العلوم التقنية,,,,,العلوم التقنية,FG+PH,85.429
,المعهد العالي للموسيقى بسوسة (جامعة سوسة),,,,,,FG+Info,30246.0
,3 سنوات (امد),,,,,علوم تجريبية,FG+Info,91.527
,شعبة تتطلب اختبار,,,,,العلوم التقنية,FG+Info,94.095
,علوم الإعلامية,,,,,علوم الإعلامية,FG+STI,84.487
,الإجازة في هندسة الصوت والتكنولوجيات الحديثة 3 سنوات (امد),,,,,,FG+Info,114.45
,علوم تجريبية,,,,,علوم تجريبية,FG+Info,87.059
,شعبة تتطلب اختبار,,,,,العلوم التقنية,FG+Info,89.65
,علوم الإعلامية,,,,,علوم الإعلامية,FG+STI,90.684
,المعهد العالي لفنون الملتميديا بمنوبة (جامعة منوبة ),,,,,,FG+PH,121.702
,3 سنوات (امد),,,,,,FG+PH,110.87
,شعبة تتطلب اختبار,,,,,علوم تجريبية,FG+PH,107.844
,إقتصاد وتصرف,,,,,,FG+PH,105.844
,العلوم التقنية,,,,,العلوم التقنية,FG+PH,107.375
,علوم الإعلامية,,,,,علوم الإعلامية,FG+PH,99.887
,المعهد العالي للفنون والحرف بصفاقس (جامعة صفاقس),,40265,,,,FG+PH,111.708
,رياضيات,,,,,,FG+PH,109.557
,علوم تجريبية,,,,,علوم تجريبية,FG+PH,105.853
,إقتصاد وتصرف,,,,,,FG+PH,101.618
,العلوم التقنية,,,,,العلوم التقنية,FG+PH,96.21
,علوم الإعلامية,,,,,علوم الإعلامية,FG+PH,90.05
,المعهد العالي لفنون الملتميديا بمنوبة (جامعة منوبة ),,10622,,,,FG+Info,128.528
,3 سنوات (امد),,,,,,FG+Info,123.631
,علوم تجريبية,,,,,علوم تجريبية,FG+Info,124.008
,إقتصاد وتصرف,,,,,,FG+Info,120.327
,العلوم التقنية,,,,,العلوم التقنية,FG+Info,125.825
,علوم الإعلامية,,,,,علوم الإعلامية,FG+STI,123.382
,المعهد العالي للفنون والحرف بصفاقس (جامعة صفاقس),,40622,,,,FG+Info,120.39
,رياضيات,,,,,,FG+Info,102.055
,علوم تجريبية,,,,,علوم تجريبية,FG+Info,109.727
,إقتصاد وتصرف,,,,,,FG+Info,82.463
,العلوم التقنية,,,,,العلوم التقنية,FG+Info,95.59
,علوم الإعلامية,,,,,علوم الإعلامية,FG+STI,103.262
,المعهد العالي للإعلامية والملتيميديا بقابس (جامعة قابس ),,50622,,,,FG+Info,116.464
,رياضيات,,,,,,FG+Info,94.92
,علوم تجريبية,,,,,علوم تجريبية,FG+Info,87.183
,إقتصاد وتصرف,,,,,,FG+Info,84.57
,العلوم التقنية,,,,,العلوم التقنية,FG+Info,74.892
,علوم الإعلامية,,,,,علوم الإعلامية,FG+STI,83.66
,المعهد العالي للد ارسات التطبيقية في الانسانيات بسبيطلة (جامعة القيروان),,,,,,FG+(F+Ang+EP)/3,100.362
,3 سنوات (امد),,,,,,FG+(F+Ang+EP)/3,
,تربية بدنية إجبارية,,,,,علوم تجريبية,FG+(F+Ang+EP)/3,113.312
,إقتصاد وتصرف,,,,,,FG+(F+Ang+EP)/3,85.119
,العلوم التقنية,,,,,العلوم التقنية,FG+(F+Ang+EP)/3,99.403
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(F+Ang+EP)/3,
,رياضة,,,,,رياضة,FG+(F+Ang+EP)/3,87.823
,المعهد العالي للتنشيط الشبابي والثقافي ببئر الباي (جامعة تونس ),,,,,,FG+PH,104.335
,تربية بدنية إجبارية,,,,,علوم تجريبية,FG+PH,131.82
,شعبة تتطلب اختبار,,,,,,FG+PH,110.25
,العلوم التقنية,,,,,العلوم التقنية,FG+PH,113.41
,علوم الإعلامية,,,,,علوم الإعلامية,FG+PH,118.425
,رياضة,,,,,رياضة,FG+PH,92.238
,المعهد العالي للرياضة والتربية البدنية بقصر السعيد (جامعة منوبة),,,,,المعهد العالي للرياضة والتربية البدنية بقصر السعيد (جامعة منوبة),FG+EP,151.865
,3 سنوات (امد),,,,,,FG+EP,146.788
,عدد مادة الرياضة 16=<من 20,,,,,علوم تجريبية,FG+EP,138.394
,شعبة تتطلب اختبار طبي,,,,,,FG+EP,173.495
,العلوم التقنية,,,,,العلوم التقنية,FG+EP,150.271
,علوم الإعلامية,,,,,علوم الإعلامية,FG+EP,160.548
,رياضة,,,,,رياضة,FG+SB,123.762
,المعهد العالي للرياضة والتربية البدنية بصفاقس (جامعة صفاقس),,,,,المعهد العالي للرياضة والتربية البدنية بصفاقس (جامعة صفاقس),FG+EP,154.529
,رياضيات,,,,,,FG+EP,132.91
,علوم تجريبية,,,,,علوم تجريبية,FG+EP,145.725
,إقتصاد وتصرف,,,,,,FG+EP,172.575
,العلوم التقنية,,,,,العلوم التقنية,FG+EP,142.38
,علوم الإعلامية,,,,,علوم الإعلامية,FG+EP,143.428
,رياضة,,,,,رياضة,FG+SB,76.572
,المعهد العالي للرياضة والتربية البدنية بقفصة (جامعة قفصة),,,,,المعهد العالي للرياضة والتربية البدنية بقفصة (جامعة قفصة),FG+EP,144.263
,-الأنشطة البدنية الملائمة,,,,,,FG+EP,112.093
,علوم تجريبية,,,,,علوم تجريبية,FG+EP,138.805
,إقتصاد وتصرف,,,,,,FG+EP,148.565
,العلوم التقنية,,,,,العلوم التقنية,FG+EP,132.32
,علوم الإعلامية,,,,,علوم الإعلامية,FG+EP,122.471
,رياضة,,,,,رياضة,FG+SB,82.044
,المعهد العالي للرياضة والتربية البدنية بالكاف (جامعة جندوبة ),,,,,المعهد العالي للرياضة والتربية البدنية بالكاف (جامعة جندوبة ),FG+EP,136.89
,رياضيات,,,,,,FG+EP,122.78
,علوم تجريبية,,,,,علوم تجريبية,FG+EP,156.98
,إقتصاد وتصرف,,,,,,FG+EP,169.269
,العلوم التقنية,,,,,العلوم التقنية,FG+EP,141.78
,علوم الإعلامية,,,,,علوم الإعلامية,FG+EP,137.785
,رياضة,,,,,رياضة,FG+SB,88.16
,المعهد العالي للد ارسات السياحية والفندقية بسيد ي الظريف (جامعة قرطاج),,,,,,FG+(F+Ang)/2,109.773
,3 سنوات (امد),,,,,,FG+(F+Ang)/2,102.077
,شعبة تتطلب اختبار,,,,,علوم تجريبية,FG+(F+Ang)/2,117.315
,إقتصاد وتصرف,,,,,,FG+(F+Ang)/2,100.582
,العلوم التقنية,,,,,العلوم التقنية,FG+(F+Ang)/2,100.23
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(F+Ang)/2,89.527
,رياضة,,,,,رياضة,FG+(F+Ang)/2,118.185
,المعهد العالي للد ارسات السياحية والفندقية بسيد ي الظريف (جامعة قرطاج),,,,,,FG+(F+Ang)/2,107.735
,3 سنوات (امد),,,,,,FG+(F+Ang)/2,95.01
,شعبة تتطلب اختبار,,,,,علوم تجريبية,FG+(F+Ang)/2,118.15
,إقتصاد وتصرف,,,,,,FG+(F+Ang)/2,97.94
,العلوم التقنية,,,,,العلوم التقنية,FG+(F+Ang)/2,100.875
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(F+Ang)/2,90.955
,رياضة,,,,,رياضة,FG+(F+Ang)/2,119.655
,كلية الحقوق والعلوم السياسية بتونس (جامعة تونس المنار),,10301,,,,FG+(A+F)/2,128.946
,3 سنوات (امد),,,,,,FG+(A+F)/2,133.895
,علوم تجريبية,,,,,علوم تجريبية,FG+(A+F)/2,147.628
,إقتصاد وتصرف,,,,,,FG+(A+F)/2,116.989
,العلوم التقنية,,,,,العلوم التقنية,FG+(A+F)/2,153.074
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(A+F)/2,119.091
,رياضة,,,,,رياضة,FG+(A+F)/2,124.55
,كلية العلوم القانونية والسياسية والاجتماعية بتونس (جامعة قرطاج),,11301,,,,FG+(A+F)/2,147.45
,رياضيات,,,,,,FG+(A+F)/2,160.168
,علوم تجريبية,,,,,علوم تجريبية,FG+(A+F)/2,160.249
,إقتصاد وتصرف,,,,,,FG+(A+F)/2,129.5
,العلوم التقنية,,,,,العلوم التقنية,FG+(A+F)/2,158.777
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(A+F)/2,127.116
,رياضة,,,,,رياضة,FG+(A+F)/2,164.37
,كلية الحقوق والعلوم السياسية بسوسة (جامعة سوسة ),,30301,,,,FG+(A+F)/2,116.213
,رياضيات,,,,,,FG+(A+F)/2,123.505
,علوم تجريبية,,,,,علوم تجريبية,FG+(A+F)/2,139.095
,إقتصاد وتصرف,,,,,,FG+(A+F)/2,102.517
,العلوم التقنية,,,,,العلوم التقنية,FG+(A+F)/2,169.065
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(A+F)/2,97.923
,رياضة,,,,,رياضة,FG+(A+F)/2,120.14
,-القانون العام -القانون الخاص -الإدارة وقانون المنازعات الإدارية -القانون الجبائي والمالي -قانون الأعمال -القانون العقاري -القانون العدلي,,40301,,,,FG+(A+F)/2,107.235
,رياضيات,,,,,,FG+(A+F)/2,111.515
,علوم تجريبية,,,,,علوم تجريبية,FG+(A+F)/2,129.069
,إقتصاد وتصرف,,,,,,FG+(A+F)/2,90.998
,العلوم التقنية,,,,,العلوم التقنية,FG+(A+F)/2,145.809
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(A+F)/2,106.65
,رياضة,,,,,رياضة,FG+(A+F)/2,85.735
,المعهد العالي للد ارسات القانونية بقابس (جامعة قابس ),,50301,,,,FG+(A+F)/2,104.71
,رياضيات,,,,,,FG+(A+F)/2,90.66
,علوم تجريبية,,,,,علوم تجريبية,FG+(A+F)/2,120.385
,إقتصاد وتصرف,,,,,,FG+(A+F)/2,76.309
,العلوم التقنية,,,,,العلوم التقنية,FG+(A+F)/2,138.458
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(A+F)/2,99.915
,رياضة,,,,,رياضة,FG+(A+F)/2,97.147
,المعهد العالي للد ارسات القانونية والسياسية بالقيروان (جامعة القيروان ),,70301,,,,FG+(A+F)/2,100.231
,رياضيات,,,,,,FG+(A+F)/2,101.455
,علوم تجريبية,,,,,علوم تجريبية,FG+(A+F)/2,118.112
,إقتصاد وتصرف,,,,,,FG+(A+F)/2,72.045
,العلوم التقنية,,,,,العلوم التقنية,FG+(A+F)/2,131.546
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(A+F)/2,97.538
,رياضة,,,,,رياضة,FG+(A+F)/2,147.03
,كلية العلوم القانونية والاقتصادية والتصرف بجندوبة (جامعة جندوبة),,80301,,,كلية العلوم القانونية والاقتصادية والتصرف بجندوبة (جامعة جندوبة),FG+(A+F)/2,100.478
,رياضيات,,,,,,FG+(A+F)/2,92.049
,علوم تجريبية,,,,,علوم تجريبية,FG+(A+F)/2,115.958
,إقتصاد وتصرف,,,,,,FG+(A+F)/2,69.86
,العلوم التقنية,,,,,العلوم التقنية,FG+(A+F)/2,113.586
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(A+F)/2,110.75
,رياضة,,,,,رياضة,FG+(A+F)/2,
,المعهد الوطني للشغل والد ارسات الاجتماعية بتونس (جامعة قرطاج),,10346,,,,FG+(A+F)/2,112.655
,3 سنوات (امد),,,,,,FG+(A+F)/2,99.07
,-إقتصاديات الأعمال -الهندسة الاقتصادية والمالية,,10312,,,-إقتصاديات الأعمال -الهندسة الاقتصادية والمالية,FG+M,147.831
,3 سنوات (امد),,,,,علوم تجريبية,FG+M,143.701
,إقتصاد وتصرف,,,,,,FG+(M+Ec)/2,151.865
,-إقتصاديات الأعمال -نقد-مالية-بنك- تأمين -التحليل والسياسة الإقتصادية -الهندسة الاقتصادية والمالية,,11312,,,-إقتصاديات الأعمال -نقد-مالية-بنك- تأمين -التحليل والسياسة الإقتصادية -الهندسة الاقتصادية والمالية,FG+M,128.43
,علوم تجريبية,,,,,علوم تجريبية,FG+M,96.871
,إقتصاد وتصرف,,,,,,FG+(M+Ec)/2,124.095
,-التجارة والمالية الدولية -إقتصاديات النقل واللوجستية -نقد-مالية-بنك- تأمين -الهندسة الاقتصادية والمالية,,12312,,,-التجارة والمالية الدولية -إقتصاديات النقل واللوجستية -نقد-مالية-بنك- تأمين -الهندسة الاقتصادية والمالية,FG+M,128.956
,علوم تجريبية,,,,,علوم تجريبية,FG+M,132.15
,إقتصاد وتصرف,,,,,,FG+(M+Ec)/2,127.244
,-التجارة والمالية الدولية -نقد-مالية-بنك- تأمين -التحليل والسياسة الإقتصادية -الهندسة الاقتصادية والمالية,,13312,,,-التجارة والمالية الدولية -نقد-مالية-بنك- تأمين -التحليل والسياسة الإقتصادية -الهندسة الاقتصادية والمالية,FG+M,141.631
,علوم تجريبية,,,,,علوم تجريبية,FG+M,136.385
,إقتصاد وتصرف,,,,,,FG+(M+Ec)/2,120.851
,المعهد الوطني للشغل والد ارسات الإجتماعية بتونس (جامعة قرطاج),,14312,,,التحليل والسياسة الإقتصادية:اقتصاد الشغل,FG+M,128.245
,علوم تجريبية,,,,,علوم تجريبية,FG+M,136.339
,إقتصاد وتصرف,,,,,,FG+(M+Ec)/2,114.394
,المعهد العالي للتصرف ببنزرت (جامعة قرطاج),,20312,,,الهندسة الاقتصادية والمالية,FG+M,110.941
,علوم تجريبية,,,,,علوم تجريبية,FG+M,90.478
,إقتصاد وتصرف,,,,,,FG+(M+Ec)/2,110.815
,-التجارة والمالية الدولية -نقد-مالية-بنك- تأمين -التحليل والسياسة الإقتصادية,,22312,,,,FG+M,115.196
,علوم تجريبية,,,,,علوم تجريبية,FG+M,122.1
,إقتصاد وتصرف,,,,,,FG+(M+Ec)/2,101.285
,المعهد العالى للتصرف بسوسة (جامعة سوسة),,30312,,,,FG+M,109.765
,علوم تجريبية,,,,,علوم تجريبية,FG+M,90.09
,إقتصاد وتصرف,,,,,,FG+(M+Ec)/2,127.121
,معهد الد ارسات التجارية العليا بسوسة (جامعة سوسة ),,31312,,,,FG+M,108.726
,علوم تجريبية,,,,,علوم تجريبية,FG+M,83.145
,إقتصاد وتصرف,,,,,,FG+(M+Ec)/2,139.595
,المعهد العالي للمالية والجباية بسوسة (جامعة سوسة ),,32312,,,,FG+M,109.529
,علوم تجريبية,,,,,علوم تجريبية,FG+M,106.829
,إقتصاد وتصرف,,,,,,FG+(M+Ec)/2,109.611
,-إقتصاديات الأعمال -التجارة والمالية الدولية -نقد-مالية-بنك- تأمين -الهندسة الاقتصادية والمالية,,33312,,,-إقتصاديات الأعمال -التجارة والمالية الدولية -نقد-مالية-بنك- تأمين -الهندسة الاقتصادية والمالية,FG+M,105.826
,علوم تجريبية,,,,,علوم تجريبية,FG+M,107.803
,إقتصاد وتصرف,,,,,,FG+(M+Ec)/2,101.147
,-إقتصاديات الأعمال -التجارة والمالية الدولية -نقد-مالية-بنك- تأمين -الهندسة الاقتصادية والمالية,,36312,,,-إقتصاديات الأعمال -التجارة والمالية الدولية -نقد-مالية-بنك- تأمين -الهندسة الاقتصادية والمالية,FG+M,98.266
,علوم تجريبية,,,,,علوم تجريبية,FG+M,123.88
,إقتصاد وتصرف,,,,,,FG+(M+Ec)/2,102.03
,-إقتصاديات الأعمال -التجارة والمالية الدولية -إقتصاديات النقل واللوجستية -نقد-مالية-بنك- تأمين -التحليل والسياسة الإقتصادية -الهندسة الاقتصادية والمالية,,40312,,,-إقتصاديات الأعمال -التجارة والمالية الدولية -إقتصاديات النقل واللوجستية -نقد-مالية-بنك- تأمين -التحليل والسياسة الإقتصادية -الهندسة الاقتصادية والمالية,FG+M,89.735
,علوم تجريبية,,,,,علوم تجريبية,FG+M,118.17
,إقتصاد وتصرف,,,,,,FG+(M+Ec)/2,88.483
,-إقتصاديات الأعمال -إقتصاديات النقل واللوجستية -نقد-مالية-بنك- تأمين -الهندسة الاقتصادية والمالية,,41312,,,-إقتصاديات الأعمال -إقتصاديات النقل واللوجستية -نقد-مالية-بنك- تأمين -الهندسة الاقتصادية والمالية,FG+M,113.773
,علوم تجريبية,,,,,علوم تجريبية,FG+M,130.31
,إقتصاد وتصرف,,,,,,FG+(M+Ec)/2,99.915
,المعهد العالي لإدارة الاعمال بصفاقس (جامعة صفاقس),,42312,,,,FG+M,106.925
,علوم تجريبية,,,,,علوم تجريبية,FG+M,120.824
,إقتصاد وتصرف,,,,,,FG+(M+Ec)/2,85.138
,معهد الد ارسات العليا التجارية بصفاقس (جامعة صفاقس),,43312,,,الهندسة الاقتصادية والمالية,FG+M,106.069
,علوم تجريبية,,,,,علوم تجريبية,FG+M,100.65
,إقتصاد وتصرف,,,,,,FG+(M+Ec)/2,94.36
,-التجارة والمالية الدولية -نقد-مالية-بنك- تأمين -التحليل والسياسة الإقتصادية,,50312,,,,FG+M,
,علوم تجريبية,,,,,علوم تجريبية,FG+M,98.565
,إقتصاد وتصرف,,,,,,FG+(M+Ec)/2,92.689
,المعهد العالي لإدارة المؤسسات بقفصة (جامعة قفصة ),,60312,,,,FG+M,87.923
,علوم تجريبية,,,,,علوم تجريبية,FG+M,122.355
,إقتصاد وتصرف,,,,,,FG+(M+Ec)/2,71.943
,المعهد العالي للإعلامية والتصرف بالقيروان (جامعة القيروان ),,70312,,,-نقد-مالية-بنك- تأمين -الهندسة الاقتصادية والمالية,FG+M,97.57
,علوم تجريبية,,,,,علوم تجريبية,FG+M,113.19
,إقتصاد وتصرف,,,,,,FG+(M+Ec)/2,83.272
,-إقتصاديات الأعمال -التجارة والمالية الدولية -نقد-مالية-بنك- تأمين -التحليل والسياسة الإقتصادية,,80312,,,,FG+M,90.27
,علوم تجريبية,,,,,علوم تجريبية,FG+M,109.087
,إقتصاد وتصرف,,,,,,FG+(M+Ec)/2,70.532
,-إدارة الأعمال -التسويق -المالية -المحاسبة -التصرف في الموارد البشرية,,10318,,,,FG+M,157.402
,3 سنوات (امد),,,,,علوم تجريبية,FG+M,144.575
,إقتصاد وتصرف,,,,,,FG+(M+Ge)/2,171.446
,العلوم التقنية,,,,,العلوم التقنية,FG+M,119.482
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,149.565
,-إدارة الأعمال -التسويق -المالية -المحاسبة -التصرف في الموارد البشرية,,11318,,,,FG+M,134.804
,علوم تجريبية,,,,,علوم تجريبية,FG+M,129.277
,إقتصاد وتصرف,,,,,,FG+(M+Ge)/2,153.155
,العلوم التقنية,,,,,العلوم التقنية,FG+M,156.241
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,136.741
,المدرسة العليا للتجارة بمنوبة (جامعة منوبة),,12318,,,,FG+M,131.631
,علوم تجريبية,,,,,علوم تجريبية,FG+M,119.722
,إقتصاد وتصرف,,,,,,FG+(M+Ge)/2,144.52
,العلوم التقنية,,,,,العلوم التقنية,FG+M,155.706
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,136.57
,كلية العلوم الإقتصادية والتصرف بتونس (جامعة تونس المنار),,13318,,,,FG+M,131.3
,علوم تجريبية,,,,,علوم تجريبية,FG+M,143.113
,إقتصاد وتصرف,,,,,,FG+(M+Ge)/2,142.128
,العلوم التقنية,,,,,العلوم التقنية,FG+M,133.45
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,145.028
,معهد الد ارسات العليا التجارية بقرطاج (جامعة قرطاج),,14318,,,,FG+M,173.55
,علوم تجريبية,,,,,علوم تجريبية,FG+M,166.53
,إقتصاد وتصرف,,,,,,FG+(M+Ge)/2,179.545
,العلوم التقنية,,,,,العلوم التقنية,FG+M,173.549
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,150.019
,-إدارة الأعمال -المالية -المحاسبة -التصرف في الموارد البشرية,,15318,,,,FG+M,138.217
,علوم تجريبية,,,,,علوم تجريبية,FG+M,123.976
,إقتصاد وتصرف,,,,,,FG+(M+Ge)/2,149.675
,العلوم التقنية,,,,,العلوم التقنية,FG+M,139.785
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,139.025
,-إدارة أعمال منظمات الإقتصاد الإجتماعي والتضامني -التصرف في الموارد البشرية,,16318,,,,FG+M,126.431
,علوم تجريبية,,,,,علوم تجريبية,FG+M,135.917
,إقتصاد وتصرف,,,,,,FG+(M+Ge)/2,131.754
,العلوم التقنية,,,,,العلوم التقنية,FG+M,110.317
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,122.553
,المعهد العالي للتصرف ببنزرت (جامعة قرطاج),,20318,,,,FG+M,116.84
,علوم تجريبية,,,,,علوم تجريبية,FG+M,120.808
,إقتصاد وتصرف,,,,,,FG+(M+Ge)/2,131.63
,-المحاسبة -التصرف اللوجستي والإنتاج,,,,,العلوم التقنية,FG+M,150.435
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,115.61
,-إدارة الأعمال -التسويق -المالية -المحاسبة -التصرف في الموارد البشرية,,22318,,,كلية العلوم الاقتصادية والتصرف بنابل (جامعة قرطاج),FG+M,121.21
,علوم تجريبية,,,,,علوم تجريبية,FG+M,132.125
,إقتصاد وتصرف,,,,,,FG+(M+Ge)/2,117.36
,العلوم التقنية,,,,,العلوم التقنية,FG+M,144.413
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,116.32
,-إدارة الأعمال -التسويق -المالية -المحاسبة,,30318,,,,FG+M,125.835
,علوم تجريبية,,,,,علوم تجريبية,FG+M,127.505
,إقتصاد وتصرف,,,,,,FG+(M+Ge)/2,146.713
,العلوم التقنية,,,,,العلوم التقنية,FG+M,167.123
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,116.38
,-إدارة الأعمال -التسويق -المالية -المحاسبة -التصرف اللوجستي والإنتاج,,31318,,,,FG+M,155.599
,علوم تجريبية,,,,,علوم تجريبية,FG+M,159.075
,إقتصاد وتصرف,,,,,,FG+(M+Ge)/2,160.285
,العلوم التقنية,,,,,العلوم التقنية,FG+M,185.03
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,103.315
,المعهد العالي للمالية والجباية بسوسة (جامعة سوسة ),,32318,,,,FG+M,105.113
,علوم تجريبية,,,,,علوم تجريبية,FG+M,123.082
,إقتصاد وتصرف,,,,,,FG+(M+Ge)/2,127.315
,العلوم التقنية,,,,,العلوم التقنية,FG+M,157.937
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,105.275
,كلية العلوم الاقتصادية والتصرف بسوسة (جامعة سوسة ),,33318,,,كلية العلوم الاقتصادية والتصرف بسوسة (جامعة سوسة ),FG+M,110.31
,علوم تجريبية,,,,,علوم تجريبية,FG+M,112.21
,إقتصاد وتصرف,,,,,,FG+(M+Ge)/2,117.985
,العلوم التقنية,,,,,العلوم التقنية,FG+M,106.122
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,108.845
,المعهد العالي للموضة بالمنستير (جامعة المنستير),,34318,,,,FG+M,104.58
,علوم تجريبية,,,,,علوم تجريبية,FG+M,121.31
,إقتصاد وتصرف,,,,,,FG+(M+Ge)/2,112.805
,العلوم التقنية,,,,,العلوم التقنية,FG+M,140.213
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,115.15
,كلية العلوم الإقتصادية والتصرف بالمهدية (جامعة المنستير ),,36318,,,,FG+M,100.98
,علوم تجريبية,,,,,علوم تجريبية,FG+M,121.24
,إقتصاد وتصرف,,,,,,FG+(M+Ge)/2,123.49
,العلوم التقنية,,,,,العلوم التقنية,FG+M,137.56
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,108.565
,-إدارة الأعمال -التسويق -المالية -المحاسبة -التصرف في الموارد البشرية -التصرف اللوجستي والإنتاج,,40318,,,,FG+M,101.932
,علوم تجريبية,,,,,علوم تجريبية,FG+M,123.473
,إقتصاد وتصرف,,,,,,FG+(M+Ge)/2,116.63
,العلوم التقنية,,,,,العلوم التقنية,FG+M,129.604
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,96.945
,-إدارة الأعمال -التسويق -المالية -المحاسبة -التصرف في الموارد البشرية,,41318,,,,FG+M,129.208
,علوم تجريبية,,,,,علوم تجريبية,FG+M,164.438
,إقتصاد وتصرف,,,,,,FG+(M+Ge)/2,150.512
,العلوم التقنية,,,,,العلوم التقنية,FG+M,148.206
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,106.875
,المعهد العالي لإدارة الاعمال بصفاقس (جامعة صفاقس),,42318,,,,FG+M,98.51
,علوم تجريبية,,,,,علوم تجريبية,FG+M,124.96
